metric,value
best_eval,58
best_eval_fraction,0.9666666666666667
eval_per_sec,0.35504329864033907
evaluation_count,60
improvement_percent,74.61287566408129
max_plateau_evals,33
median_plateau_evals,2.0
new_best_count,7
new_best_rate,0.11666666666666667
p90_plateau_evals,18.299999999999997
time_to_best_sec,162.933457267005
time_to_first_improvement_sec,1.6105744340020465
total_runtime_sec,168.99347271100123
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,True
flag_ratio_hits_boundary,True
