metric,value
best_eval,114
best_eval_fraction,0.6627906976744186
eval_per_sec,0.0024305583687496742
evaluation_count,172
improvement_percent,70.14387681117502
max_plateau_evals,58
median_plateau_evals,5.5
new_best_count,11
new_best_rate,0.06395348837209303
p90_plateau_evals,38.00000000000001
time_to_best_sec,48467.23390021699
time_to_first_improvement_sec,895.0690359399887
total_runtime_sec,70765.640918625
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
