metric,value
best_eval,229
best_eval_fraction,0.7246835443037974
eval_per_sec,0.24576733404742845
evaluation_count,316
improvement_percent,101.09499496879715
max_plateau_evals,87
median_plateau_evals,39.5
new_best_count,7
new_best_rate,0.022151898734177215
p90_plateau_evals,63.199999999999996
time_to_best_sec,918.4157173830026
time_to_first_improvement_sec,68.72433520400955
total_runtime_sec,1285.7811500660027
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
