metric,value
best_eval,457
best_eval_fraction,0.7879310344827586
eval_per_sec,0.02138132095835882
evaluation_count,580
improvement_percent,19.93729841348158
max_plateau_evals,250
median_plateau_evals,12.0
new_best_count,9
new_best_rate,0.015517241379310345
p90_plateau_evals,151.89999999999995
time_to_best_sec,21041.446031820997
time_to_first_improvement_sec,48.96654292999301
total_runtime_sec,27126.49488256299
flag_b1_hits_boundary,False
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,True
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
