metric,value
best_eval,227
best_eval_fraction,0.9700854700854701
eval_per_sec,0.1503730787513734
evaluation_count,234
improvement_percent,92.11061710286549
max_plateau_evals,111
median_plateau_evals,10.0
new_best_count,9
new_best_rate,0.038461538461538464
p90_plateau_evals,56.09999999999998
time_to_best_sec,1504.7227328299778
time_to_first_improvement_sec,44.37678337597754
total_runtime_sec,1556.1296706410358
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,True
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
