metric,value
best_eval,31
best_eval_fraction,0.8157894736842105
eval_per_sec,0.23599618980079515
evaluation_count,38
improvement_percent,11.84882458325712
max_plateau_evals,15
median_plateau_evals,7.0
new_best_count,4
new_best_rate,0.10526315789473684
p90_plateau_evals,13.8
time_to_best_sec,117.56045816000551
time_to_first_improvement_sec,1.4361935179913417
total_runtime_sec,161.01967752998462
flag_b1_hits_boundary,False
flag_b2_hits_boundary,False
flag_best_b1_on_boundary,False
flag_best_b2_on_boundary,False
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,True
