metric,value
best_eval,158
best_eval_fraction,0.6752136752136753
eval_per_sec,0.17688003043240935
evaluation_count,234
improvement_percent,97.98936921372949
max_plateau_evals,101
median_plateau_evals,8.0
new_best_count,8
new_best_rate,0.03418803418803419
p90_plateau_evals,81.0
time_to_best_sec,864.7685863639927
time_to_first_improvement_sec,43.810809488000814
total_runtime_sec,1322.9378558669996
flag_b1_hits_boundary,True
flag_b2_hits_boundary,True
flag_best_b1_on_boundary,True
flag_best_b2_on_boundary,True
flag_best_ratio_on_boundary,False
flag_late_best,False
flag_low_improvement,False
flag_low_signal,False
flag_plateau_too_long,False
flag_ratio_hits_boundary,False
